Hex	Rank	Emoji	Year	Category	Subcategory	Name
\x{1F339}	33	🌹	2014	Animals & Nature	plant-flower	rose
\x{1F926}	34	🤦	2016	People & Body	person-gesture	person facepalming
\x{1F389}	35	🎉	2014	Activities	event	party popper
\x{203C FE0F}	36	‼️	1995	Symbols	other-symbol	double exclamation mark
\x{1F49E}	37	💞	2014	Smileys & Emotion	emotion	revolving hearts
\x{270C FE0F}	38	✌️	1995	People & Body	hand-fingers-partial	victory hand
\x{2728}	39	✨	2010	Activities	event	sparkles
\x{1F937}	40	🤷	2016	People & Body	person-gesture	person shrugging
\x{1F631}	41	😱	2014	Smileys & Emotion	face-concerned	face screaming in fear
\x{1F60C}	42	😌	2014	Smileys & Emotion	face-sleepy	relieved face
\x{1F338}	43	🌸	2014	Animals & Nature	plant-flower	cherry blossom
\x{1F64C}	44	🙌	2014	People & Body	hands	raising hands
\x{1F60B}	45	😋	2014	Smileys & Emotion	face-tongue	face savoring food
\x{1F497}	46	💗	2014	Smileys & Emotion	emotion	growing heart
\x{1F49A}	47	💚	2014	Smileys & Emotion	emotion	green heart
\x{1F60F}	48	😏	2014	Smileys & Emotion	face-neutral-skeptical	smirking face
\x{1F49B}	49	💛	2014	Smileys & Emotion	emotion	yellow heart
\x{1F642}	50	🙂	2014	Smileys & Emotion	face-smiling	slightly smiling face
\x{1F493}	51	💓	2014	Smileys & Emotion	emotion	beating heart
\x{1F929}	52	🤩	2017	Smileys & Emotion	face-affection	star-struck
\x{1F604}	53	😄	2014	Smileys & Emotion	face-smiling	grinning face with smiling eyes
\x{1F600}	54	😀	2014	Smileys & Emotion	face-smiling	grinning face
\x{1F5A4}	55	🖤	2016	Smileys & Emotion	emotion	black heart
\x{1F603}	56	😃	2014	Smileys & Emotion	face-smiling	grinning face with big eyes
\x{1F4AF}	57	💯	2014	Smileys & Emotion	emotion	hundred points
\x{1F648}	58	🙈	2014	Smileys & Emotion	monkey-face	see-no-evil monkey
\x{1F447}	59	👇	2014	People & Body	hand-single-finger	backhand index pointing down
\x{1F3B6}	60	🎶	2014	Objects	music	musical notes
\x{1F612}	61	😒	2014	Smileys & Emotion	face-neutral-skeptical	unamused face
\x{1F92D}	62	🤭	2017	Smileys & Emotion	face-hand	face with hand over mouth
\x{2763 FE0F}	63	❣️	1995	Smileys & Emotion	emotion	heart exclamation
\x{2757}	64	❗	2009	Symbols	other-symbol	exclamation mark
\x{1F61C}	65	😜	2014	Smileys & Emotion	face-tongue	winking face with tongue
\x{1F48B}	66	💋	2014	Smileys & Emotion	emotion	kiss mark
\x{1F440}	67	👀	2014	People & Body	body-parts	eyes
\x{1F62A}	68	😪	2014	Smileys & Emotion	face-sleepy	sleepy face
\x{1F611}	69	😑	2014	Smileys & Emotion	face-neutral-skeptical	expressionless face
\x{1F4A5}	70	💥	2014	Smileys & Emotion	emotion	collision
\x{1F64B}	71	🙋	2014	People & Body	person-gesture	person raising hand
\x{1F61E}	72	😞	2014	Smileys & Emotion	face-concerned	disappointed face
\x{1F629}	73	😩	2014	Smileys & Emotion	face-concerned	weary face
\x{1F621}	74	😡	2014	Smileys & Emotion	face-negative	pouting face
\x{1F92A}	75	🤪	2017	Smileys & Emotion	face-tongue	zany face
\x{1F44A}	76	👊	2014	People & Body	hand-fingers-closed	oncoming fist
\x{2600 FE0F}	77	☀️	1995	Travel & Places	sky & weather	sun
\x{1F973}	78	🥳	2018	Smileys & Emotion	face-hat	partying face
\x{1F625}	79	😥	2014	Smileys & Emotion	face-concerned	sad but relieved face
\x{1F924}	80	🤤	2016	Smileys & Emotion	face-sleepy	drooling face
\x{1F449}	81	👉	2014	People & Body	hand-single-finger	backhand index pointing right
\x{1F483}	82	💃	2014	People & Body	person-activity	woman dancing
\x{1F633}	83	😳	2014	Smileys & Emotion	face-concerned	flushed face
\x{270B}	84	✋	1995	People & Body	hand-fingers-open	raised hand
\x{1F61A}	85	😚	2014	Smileys & Emotion	face-affection	kissing face with closed eyes
\x{1F61D}	86	😝	2014	Smileys & Emotion	face-tongue	squinting face with tongue
\x{1F634}	87	😴	2014	Smileys & Emotion	face-sleepy	sleeping face
\x{1F31F}	88	🌟	2010	Travel & Places	sky & weather	glowing star
\x{1F62C}	89	😬	2014	Smileys & Emotion	face-neutral-skeptical	grimacing face
\x{1F643}	90	🙃	2014	Smileys & Emotion	face-smiling	upside-down face
\x{1F340}	91	🍀	2014	Animals & Nature	plant-other	four leaf clover
\x{1F337}	92	🌷	2014	Animals & Nature	plant-flower	tulip
\x{1F63B}	93	😻	2014	Smileys & Emotion	cat-face	smiling cat with heart-eyes
\x{1F613}	94	😓	2014	Smileys & Emotion	face-concerned	downcast face with sweat
\x{2B50}	95	⭐	2008	Travel & Places	sky & weather	star
\x{2705}	96	✅	2010	Symbols	other-symbol	check mark button
\x{1F97A}	97	🥺	2018	Smileys & Emotion	face-concerned	pleading face
\x{1F308}	98	🌈	2010	Travel & Places	sky & weather	rainbow
\x{1F608}	99	😈	2014	Smileys & Emotion	face-negative	smiling face with horns
\x{1F918}	100	🤘	2015	People & Body	hand-fingers-partial	sign of the horns
\x{1F4A6}	101	💦	2014	Smileys & Emotion	emotion	sweat droplets
\x{2714 FE0F}	102	✔️	1995	Symbols	other-symbol	check mark
\x{1F623}	103	😣	2014	Smileys & Emotion	face-concerned	persevering face
\x{1F3C3}	104	🏃	2014	People & Body	person-activity	person running
\x{1F490}	105	💐	2014	Animals & Nature	plant-flower	bouquet
\x{2639 FE0F}	106	☹️	1995	Smileys & Emotion	face-concerned	frowning face
\x{1F38A}	107	🎊	2014	Activities	event	confetti ball
\x{1F498}	108	💘	2014	Smileys & Emotion	emotion	heart with arrow
\x{1F620}	109	😠	2014	Smileys & Emotion	face-negative	angry face
\x{261D FE0F}	110	☝️	1995	People & Body	hand-single-finger	index pointing up
\x{1F615}	111	😕	2014	Smileys & Emotion	face-concerned	confused face
\x{1F33A}	112	🌺	2014	Animals & Nature	plant-flower	hibiscus
\x{1F382}	113	🎂	2014	Food & Drink	food-sweet	birthday cake
\x{1F33B}	114	🌻	2014	Animals & Nature	plant-flower	sunflower
\x{1F610}	115	😐	2014	Smileys & Emotion	face-neutral-skeptical	neutral face
\x{1F595}	116	🖕	2014	People & Body	hand-single-finger	middle finger
\x{1F49D}	117	💝	2014	Smileys & Emotion	emotion	heart with ribbon
\x{1F64A}	118	🙊	2014	Smileys & Emotion	monkey-face	speak-no-evil monkey
\x{1F639}	119	😹	2014	Smileys & Emotion	cat-face	cat with tears of joy
\x{1F5E3 FE0F}	120	🗣️	2014	People & Body	person-symbol	speaking head
\x{1F4AB}	121	💫	2014	Smileys & Emotion	emotion	dizzy
\x{1F480}	122	💀	2014	Smileys & Emotion	face-negative	skull
\x{1F451}	123	👑	2014	Objects	clothing	crown
\x{1F3B5}	124	🎵	2014	Objects	music	musical note
\x{1F91E}	125	🤞	2016	People & Body	hand-fingers-partial	crossed fingers
\x{1F61B}	126	😛	2014	Smileys & Emotion	face-tongue	face with tongue
\x{1F534}	127	🔴	2015	Symbols	geometric	red circle
\x{1F624}	128	😤	2014	Smileys & Emotion	face-negative	face with steam from nose
\x{1F33C}	129	🌼	2014	Animals & Nature	plant-flower	blossom
\x{1F62B}	130	😫	2014	Smileys & Emotion	face-concerned	tired face
\x{26BD}	131	⚽	2009	Activities	sport	soccer ball
\x{1F919}	132	🤙	2016	People & Body	hand-fingers-partial	call me hand
\x{2615}	133	☕	2003	Food & Drink	drink	hot beverage
\x{1F3C6}	134	🏆	2014	Activities	award-medal	trophy
\x{1F9E1}	135	🧡	2017	Smileys & Emotion	emotion	orange heart
\x{1F381}	136	🎁	2014	Activities	event	wrapped gift
\x{26A1}	137	⚡	2003	Travel & Places	sky & weather	high voltage
\x{1F31E}	138	🌞	2010	Travel & Places	sky & weather	sun with face
\x{1F388}	139	🎈	2014	Activities	event	balloon
\x{274C}	140	❌	2010	Symbols	other-symbol	cross mark
\x{270A}	141	✊	1995	People & Body	hand-fingers-closed	raised fist
\x{1F44B}	142	👋	2014	People & Body	hand-fingers-open	waving hand
\x{1F632}	143	😲	2014	Smileys & Emotion	face-concerned	astonished face
\x{1F33F}	144	🌿	2014	Animals & Nature	plant-other	herb
\x{1F92B}	145	🤫	2017	Smileys & Emotion	face-hand	shushing face
\x{1F448}	146	👈	2014	People & Body	hand-single-finger	backhand index pointing left
\x{1F62E}	147	😮	2014	Smileys & Emotion	face-concerned	face with open mouth
\x{1F646}	148	🙆	2014	People & Body	person-gesture	person gesturing OK
\x{1F37B}	149	🍻	2014	Food & Drink	drink	clinking beer mugs
\x{1F343}	150	🍃	2014	Animals & Nature	plant-other	leaf fluttering in wind
\x{1F436}	151	🐶	2014	Animals & Nature	animal-mammal	dog face
\x{1F481}	152	💁	2014	People & Body	person-gesture	person tipping hand
\x{1F630}	153	😰	2014	Smileys & Emotion	face-concerned	anxious face with sweat
\x{1F928}	154	🤨	2017	Smileys & Emotion	face-neutral-skeptical	face with raised eyebrow
\x{1F636}	155	😶	2014	Smileys & Emotion	face-neutral-skeptical	face without mouth
\x{1F91D}	156	🤝	2016	People & Body	hands	handshake
\x{1F6B6}	157	🚶	2010	People & Body	person-activity	person walking
\x{1F4B0}	158	💰	2014	Objects	money	money bag
\x{1F353}	159	🍓	2014	Food & Drink	food-fruit	strawberry
\x{1F4A2}	160	💢	2014	Smileys & Emotion	emotion	anger symbol
\x{1F1FA 1F1F8}	161	🇺🇸	2010	Flags	country-flag	flag: United States
\x{1F91F}	162	🤟	2017	People & Body	hand-fingers-partial	love-you gesture
\x{1F641}	163	🙁	2014	Smileys & Emotion	face-concerned	slightly frowning face
\x{1F6A8}	164	🚨	2010	Travel & Places	transport-ground	police car light
\x{1F4A8}	165	💨	2014	Smileys & Emotion	emotion	dashing away
\x{1F92C}	166	🤬	2017	Smileys & Emotion	face-negative	face with symbols on mouth
\x{2708 FE0F}	167	✈️	1995	Travel & Places	transport-air	airplane
\x{1F380}	168	🎀	2014	Activities	event	ribbon
\x{1F37A}	169	🍺	2014	Food & Drink	drink	beer mug
\x{1F913}	170	🤓	2015	Smileys & Emotion	face-glasses	nerd face
\x{1F619}	171	😙	2014	Smileys & Emotion	face-affection	kissing face with smiling eyes
\x{1F49F}	172	💟	2014	Smileys & Emotion	emotion	heart decoration
\x{1F331}	173	🌱	2014	Animals & Nature	plant-other	seedling
\x{1F616}	174	😖	2014	Smileys & Emotion	face-concerned	confounded face
\x{1F476}	175	👶	2014	People & Body	person	baby
\x{1F974}	176	🥴	2018	Smileys & Emotion	face-unwell	woozy face
\x{25B6 FE0F}	177	▶️	1995	Symbols	av-symbol	play button
\x{27A1 FE0F}	178	➡️	1995	Symbols	arrow	right arrow
\x{2753}	179	❓	2010	Symbols	other-symbol	question mark
\x{1F48E}	180	💎	2014	Objects	clothing	gem stone
\x{1F4B8}	181	💸	2014	Objects	money	money with wings
\x{2B07 FE0F}	182	⬇️	2003	Symbols	arrow	down arrow
\x{1F628}	183	😨	2014	Smileys & Emotion	face-concerned	fearful face
\x{1F31A}	184	🌚	2010	Travel & Places	sky & weather	new moon face
\x{1F98B}	185	🦋	2016	Animals & Nature	animal-bug	butterfly
\x{1F637}	186	😷	2014	Smileys & Emotion	face-unwell	face with medical mask
\x{1F57A}	187	🕺	2016	People & Body	person-activity	man dancing
\x{26A0 FE0F}	188	⚠️	2003	Symbols	warning	warning
\x{1F645}	189	🙅	2014	People & Body	person-gesture	person gesturing NO
\x{1F61F}	190	😟	2014	Smileys & Emotion	face-concerned	worried face
\x{1F635}	191	😵	2014	Smileys & Emotion	face-unwell	dizzy face
\x{1F44E}	192	👎	2014	People & Body	hand-fingers-closed	thumbs down
\x{1F932}	193	🤲	2017	People & Body	hands	palms up together
\x{1F920}	194	🤠	2016	Smileys & Emotion	face-hat	cowboy hat face
\x{1F927}	195	🤧	2016	Smileys & Emotion	face-unwell	sneezing face
\x{1F4CC}	196	📌	2014	Objects	office	pushpin
\x{1F535}	197	🔵	2015	Symbols	geometric	blue circle
\x{1F485}	198	💅	2014	People & Body	hand-prop	nail polish
\x{1F9D0}	199	🧐	2017	Smileys & Emotion	face-glasses	face with monocle
\x{1F43E}	200	🐾	2014	Animals & Nature	animal-mammal	paw prints
\x{1F352}	201	🍒	2014	Food & Drink	food-fruit	cherries
\x{1F617}	202	😗	2014	Smileys & Emotion	face-affection	kissing face
\x{1F911}	203	🤑	2015	Smileys & Emotion	face-tongue	money-mouth face
\x{1F680}	204	🚀	2010	Travel & Places	transport-air	rocket
\x{1F30A}	205	🌊	2010	Travel & Places	sky & weather	water wave
\x{1F92F}	206	🤯	2017	Smileys & Emotion	face-unwell	exploding head
\x{1F437}	207	🐷	2014	Animals & Nature	animal-mammal	pig face
\x{260E FE0F}	208	☎️	1995	Objects	phone	telephone
\x{1F4A7}	209	💧	2014	Travel & Places	sky & weather	droplet
\x{1F62F}	210	😯	2014	Smileys & Emotion	face-concerned	hushed face
\x{1F486}	211	💆	2014	People & Body	person-activity	person getting massage
\x{1F446}	212	👆	2014	People & Body	hand-single-finger	backhand index pointing up
\x{1F3A4}	213	🎤	2014	Objects	music	microphone
\x{1F647}	214	🙇	2014	People & Body	person-gesture	person bowing
\x{1F351}	215	🍑	2014	Food & Drink	food-fruit	peach
\x{2744 FE0F}	216	❄️	1995	Travel & Places	sky & weather	snowflake
\x{1F334}	217	🌴	2014	Animals & Nature	plant-other	palm tree
\x{1F1E7 1F1F7}	218	🇧🇷	2010	Flags	country-flag	flag: Brazil
\x{1F4A3}	219	💣	2014	Smileys & Emotion	emotion	bomb
\x{1F438}	220	🐸	2014	Animals & Nature	animal-amphibian	frog
\x{1F48C}	221	💌	2014	Smileys & Emotion	emotion	love letter
\x{1F4CD}	222	📍	2014	Objects	office	round pushpin
\x{1F940}	223	🥀	2016	Animals & Nature	plant-flower	wilted flower
\x{1F922}	224	🤢	2016	Smileys & Emotion	face-unwell	nauseated face
\x{1F445}	225	👅	2014	People & Body	body-parts	tongue
\x{1F4A1}	226	💡	2014	Objects	light & video	light bulb
\x{1F4A9}	227	💩	2014	Smileys & Emotion	face-costume	pile of poo
\x{2049 FE0F}	228	⁉️	2000	Symbols	other-symbol	exclamation question mark
\x{1F450}	229	👐	2014	People & Body	hands	open hands
\x{1F4F8}	230	📸	2014	Objects	light & video	camera with flash
\x{1F47B}	231	👻	2014	Smileys & Emotion	face-costume	ghost
\x{1F910}	232	🤐	2015	Smileys & Emotion	face-neutral-skeptical	zipper-mouth face
\x{1F92E}	233	🤮	2017	Smileys & Emotion	face-unwell	face vomiting
\x{1F3BC}	234	🎼	2014	Objects	music	musical score
\x{270D FE0F}	235	✍️	1995	People & Body	hand-prop	writing hand
\x{1F975}	236	🥵	2018	Smileys & Emotion	face-unwell	hot face
\x{1F6A9}	237	🚩	2010	Flags	flag	triangular flag
\x{1F34E}	238	🍎	2014	Food & Drink	food-fruit	red apple
\x{1F34A}	239	🍊	2014	Food & Drink	food-fruit	tangerine
\x{1F47C}	240	👼	2014	People & Body	person-fantasy	baby angel
\x{1F48D}	241	💍	2014	Objects	clothing	ring
\x{1F4E3}	242	📣	2014	Objects	sound	megaphone
\x{1F942}	243	🥂	2016	Food & Drink	drink	clinking glasses
\x{2935 FE0F}	244	⤵️	2002	Symbols	arrow	right arrow curving down
\x{1F4F1}	245	📱	2014	Objects	phone	mobile phone
\x{2614}	246	☔	2003	Travel & Places	sky & weather	umbrella with rain drops
\x{1F319}	247	🌙	2010	Travel & Places	sky & weather	crescent moon
\x{1F37E}	248	🍾	2014	Food & Drink	drink	bottle with popping cork
\x{1F3A7}	249	🎧	2014	Objects	music	headphone
\x{1F341}	250	🍁	2014	Animals & Nature	plant-other	maple leaf
\x{2B55}	251	⭕	2009	Symbols	other-symbol	hollow red circle
\x{1F3C0}	252	🏀	2014	Activities	sport	basketball
\x{2620 FE0F}	253	☠️	1995	Smileys & Emotion	face-negative	skull and crossbones
\x{26AB}	254	⚫	2005	Symbols	geometric	black circle
\x{1F590 FE0F}	255	🖐️	2014	People & Body	hand-fingers-open	hand with fingers splayed
\x{1F627}	256	😧	2014	Smileys & Emotion	face-concerned	anguished face
\x{1F3AF}	257	🎯	2014	Activities	game	direct hit
\x{1F4F2}	258	📲	2014	Objects	phone	mobile phone with arrow
\x{2618 FE0F}	259	☘️	2005	Animals & Nature	plant-other	shamrock
\x{1F441 FE0F}	260	👁️	2014	People & Body	body-parts	eye
\x{1F377}	261	🍷	2014	Food & Drink	drink	wine glass
\x{1F444}	262	👄	2014	People & Body	body-parts	mouth
\x{1F41F}	263	🐟	2014	Animals & Nature	animal-marine	fish
\x{1F370}	264	🍰	2014	Food & Drink	food-sweet	shortcake
\x{1F4A4}	265	💤	2014	Smileys & Emotion	emotion	zzz
\x{1F54A FE0F}	266	🕊️	2014	Animals & Nature	animal-bird	dove
\x{1F4FA}	267	📺	2014	Objects	light & video	television
\x{1F4AD}	268	💭	2014	Smileys & Emotion	emotion	thought balloon
\x{1F431}	269	🐱	2014	Animals & Nature	animal-mammal	cat face
\x{1F41D}	270	🐝	2014	Animals & Nature	animal-bug	honeybee
\x{1F1F2 1F1FD}	271	🇲🇽	2010	Flags	country-flag	flag: Mexico
\x{1F9DA}	272	🧚	2017	People & Body	person-fantasy	fairy
\x{1F51D}	273	🔝	2015	Symbols	arrow	TOP arrow
\x{1F4E2}	274	📢	2014	Objects	sound	loudspeaker
\x{1F4F7}	275	📷	2014	Objects	light & video	camera
\x{1F415}	276	🐕	2014	Animals & Nature	animal-mammal	dog
\x{1F3B8}	277	🎸	2014	Objects	musical-instrument	guitar
\x{1F52B}	278	🔫	2015	Objects	tool	pistol
\x{1F91A}	279	🤚	2016	People & Body	hand-fingers-open	raised back of hand
\x{1F36D}	280	🍭	2014	Food & Drink	food-sweet	lollipop
\x{1F346}	281	🍆	2014	Food & Drink	food-vegetable	eggplant
\x{1F489}	282	💉	2014	Objects	medical	syringe
\x{1F30E}	283	🌎	2010	Travel & Places	place-map	globe showing Americas
\x{1F626}	284	😦	2014	Smileys & Emotion	face-concerned	frowning face with open mouth
\x{1F300}	285	🌀	2010	Travel & Places	sky & weather	cyclone
\x{1F47F}	286	👿	2014	Smileys & Emotion	face-negative	angry face with horns
\x{2611 FE0F}	287	☑️	1995	Symbols	other-symbol	check box with check
\x{1F3A5}	288	🎥	2014	Objects	light & video	movie camera
\x{1F327 FE0F}	289	🌧️	2014	Travel & Places	sky & weather	cloud with rain
\x{1F47D}	290	👽	2014	Smileys & Emotion	face-costume	alien
\x{1F34B}	291	🍋	2014	Food & Drink	food-fruit	lemon
\x{1F912}	292	🤒	2015	Smileys & Emotion	face-unwell	face with thermometer
\x{1F921}	293	🤡	2016	Smileys & Emotion	face-costume	clown face
\x{1F36B}	294	🍫	2014	Food & Drink	food-sweet	chocolate bar
\x{1F4DA}	295	📚	2014	Objects	book-paper	books
\x{1F3C1}	296	🏁	2014	Flags	flag	chequered flag
\x{1F915}	297	🤕	2015	Smileys & Emotion	face-unwell	face with head-bandage
\x{1F984}	298	🦄	2015	Animals & Nature	animal-mammal	unicorn
\x{1F345}	299	🍅	2014	Food & Drink	food-fruit	tomato
\x{1F697}	300	🚗	2010	Travel & Places	transport-ground	automobile
\x{1F6AB}	301	🚫	2010	Symbols	warning	prohibited
\x{1F4B5}	302	💵	2014	Objects	money	dollar banknote
\x{26BE}	303	⚾	2009	Activities	sport	baseball
\x{1F52A}	304	🔪	2015	Food & Drink	dishware	kitchen knife
\x{1F514}	305	🔔	2015	Objects	sound	bell
\x{2668 FE0F}	306	♨️	1995	Travel & Places	place-other	hot springs
\x{1F333}	307	🌳	2014	Animals & Nature	plant-other	deciduous tree
\x{1F50A}	308	🔊	2015	Objects	sound	speaker high volume
\x{1F36C}	309	🍬	2014	Food & Drink	food-sweet	candy
\x{1F48F}	310	💏	2014	People & Body	family	kiss
\x{1F37C}	311	🍼	2014	Food & Drink	drink	baby bottle
\x{1F35C}	312	🍜	2014	Food & Drink	food-asian	steaming bowl
\x{1F43C}	313	🐼	2014	Animals & Nature	animal-mammal	panda
\x{1F649}	314	🙉	2014	Smileys & Emotion	monkey-face	hear-no-evil monkey
\x{1F408}	315	🐈	2014	Animals & Nature	animal-mammal	cat
\x{1F43B}	316	🐻	2014	Animals & Nature	animal-mammal	bear
\x{1F938}	317	🤸	2016	People & Body	person-sport	person cartwheeling
\x{1F31D}	318	🌝	2010	Travel & Places	sky & weather	full moon face
\x{1F478}	319	👸	2014	People & Body	person-role	princess
\x{1F355}	320	🍕	2014	Food & Drink	food-prepared	pizza
\x{1F34C}	321	🍌	2014	Food & Drink	food-fruit	banana
\x{1F366}	322	🍦	2014	Food & Drink	food-sweet	soft ice cream
\x{26AA}	323	⚪	2005	Symbols	geometric	white circle
\x{1F469}	324	👩	2014	People & Body	person	woman
\x{1F63F}	325	😿	2014	Smileys & Emotion	cat-face	crying cat
\x{1F342}	326	🍂	2014	Animals & Nature	plant-other	fallen leaf
\x{1F4DE}	327	📞	2014	Objects	phone	telephone receiver
\x{23F0}	328	⏰	2010	Travel & Places	time	alarm clock
\x{1F51E}	329	🔞	2015	Symbols	warning	no one under eighteen
\x{1F30D}	330	🌍	2010	Travel & Places	place-map	globe showing Europe-Africa
\x{1F320}	331	🌠	2010	Travel & Places	sky & weather	shooting star
\x{1F640}	332	🙀	2014	Smileys & Emotion	cat-face	weary cat
\x{25AA FE0F}	333	▪️	1995	Symbols	geometric	black small square
\x{2601 FE0F}	334	☁️	1995	Travel & Places	sky & weather	cloud
\x{1F479}	335	👹	2014	Smileys & Emotion	face-costume	ogre
\x{1F349}	336	🍉	2014	Food & Drink	food-fruit	watermelon
\x{1F425}	337	🐥	2014	Animals & Nature	animal-bird	front-facing baby chick
\x{1F336 FE0F}	338	🌶️	2014	Food & Drink	food-vegetable	hot pepper
\x{31 FE0F 20E3}	339	1️⃣	2010	Symbols	keycap	keycap: 1
\x{1F335}	340	🌵	2014	Animals & Nature	plant-other	cactus
\x{1F1EE 1F1F3}	341	🇮🇳	2010	Flags	country-flag	flag: India
\x{1F467}	342	👧	2014	People & Body	person	girl
\x{1F344}	343	🍄	2014	Food & Drink	food-vegetable	mushroom
\x{1F46E}	344	👮	2014	People & Body	person-role	police officer
\x{1F4AE}	345	💮	2014	Animals & Nature	plant-flower	white flower
\x{1F430}	346	🐰	2014	Animals & Nature	animal-mammal	rabbit face
\x{1F537}	347	🔷	2015	Symbols	geometric	large blue diamond
\x{1F33E}	348	🌾	2014	Animals & Nature	plant-other	sheaf of rice
\x{1F539}	349	🔹	2015	Symbols	geometric	small blue diamond
\x{1F1F9 1F1F7}	350	🇹🇷	2010	Flags	country-flag	flag: Turkey
\x{1F947}	351	🥇	2016	Activities	award-medal	1st place medal
\x{1F1EE 1F1F9}	352	🇮🇹	2010	Flags	country-flag	flag: Italy
\x{1F36A}	353	🍪	2014	Food & Drink	food-sweet	cookie
\x{1F1E6 1F1F7}	354	🇦🇷	2010	Flags	country-flag	flag: Argentina
\x{1F6D1}	355	🛑	2016	Travel & Places	transport-ground	stop sign
\x{1F40D}	356	🐍	2014	Animals & Nature	animal-reptile	snake
\x{1F393}	357	🎓	2014	Objects	clothing	graduation cap
\x{1F1E8 1F1E6}	358	🇨🇦	2010	Flags	country-flag	flag: Canada
\x{1F34F}	359	🍏	2014	Food & Drink	food-fruit	green apple
\x{1F981}	360	🦁	2015	Animals & Nature	animal-mammal	lion
\x{1F63D}	361	😽	2014	Smileys & Emotion	cat-face	kissing cat
\x{1F6AC}	362	🚬	2010	Objects	other-object	cigarette
\x{1F356}	363	🍖	2014	Food & Drink	food-prepared	meat on bone
\x{1F374}	364	🍴	2014	Food & Drink	dishware	fork and knife
\x{1F198}	365	🆘	2010	Symbols	alphanum	SOS button
\x{1F91C}	366	🤜	2016	People & Body	hand-fingers-closed	right-facing fist
\x{1F37F}	367	🍿	2014	Food & Drink	food-prepared	popcorn
\x{1F354}	368	🍔	2014	Food & Drink	food-prepared	hamburger
\x{1F4DD}	369	📝	2014	Objects	writing	memo
\x{1F976}	370	🥶	2018	Smileys & Emotion	face-unwell	cold face
\x{1F1EF 1F1F5}	371	🇯🇵	2010	Flags	country-flag	flag: Japan
\x{1F36E}	372	🍮	2014	Food & Drink	food-sweet	custard
\x{1F347}	373	🍇	2014	Food & Drink	food-fruit	grapes
\x{32 FE0F 20E3}	374	2️⃣	2010	Symbols	keycap	keycap: 2
\x{1F3E0}	375	🏠	2014	Travel & Places	place-building	house
\x{1F930}	376	🤰	2016	People & Body	person-role	pregnant woman
\x{1F423}	377	🐣	2014	Animals & Nature	animal-bird	hatching chick
\x{1F412}	378	🐒	2014	Animals & Nature	animal-mammal	monkey
\x{1F466}	379	👦	2014	People & Body	person	boy
\x{1F369}	380	🍩	2014	Food & Drink	food-sweet	doughnut
\x{1F363}	381	🍣	2014	Food & Drink	food-asian	sushi
\x{1F91B}	382	🤛	2016	People & Body	hand-fingers-closed	left-facing fist
\x{1F46F}	383	👯	2014	People & Body	person-activity	people with bunny ears
\x{1F3F3 FE0F 200D 1F308}	384	🏳️‍🌈	2016	Flags	flag	rainbow flag
\x{2660 FE0F}	385	♠️	1995	Activities	game	spade suit
